Description,Type,Location
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
KASAN: stack-out-of-bounds Read in unwind_next_frame,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/72ec78956dd4772359f753b43a6582fdb2e18c0c
WARNING in btrfs_block_rsv_release,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/8ec88d9d8da74f692ffae9d61f025a0a6aacd3ee
kernel BUG in do_journal_end,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/af596a0a719d5f0fc2e4159fa214634cfaf78451
BUG: unable to handle kernel NULL pointer dereference in rcu_core,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/d17f4b2a81c5ee4b74af8544120024ad6cd4f6dc
INFO: task hung in hub_port_init,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/156a6a652798fcb5152bf2047a924520b9142814
WARNING: stack going in the wrong direction? at mark_lock.part.NUM,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/f0df63e730fcff29c4642f028d1b6cb11e3f840a
WARNING: stack going in the wrong direction? at do_syscall_64,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/1160768271fbecb05e960cf8a9d8d9dba7b83eac
WARNING in drm_wait_one_vblank,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/accd15601c5ca9e290a44ed88bbe1113eb144004
WARNING in blkdev_put,C reproducer,/home/sanan/research/guild_bugs/020421_feb21_workdir/crashes/76ad3a121eaab2a5aa1da8119d332655f36f6388
WARNING in wait_til_done,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb5_workdir/crashes/aad018da6a4df5bac8de38e1a0200defe7d0ac37
WARNING in hci_conn_timeout,C reproducer,/home/sanan/research/guild_bugs/020421_feb5_workdir/crashes/5e825254fe8b706c3055380f64e655d635c5b449
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/020421_feb5_workdir/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
kernel BUG in ntfs_perform_write,C reproducer,/home/sanan/research/guild_bugs/020421_feb5_workdir/crashes/105fc282690076377a4a9851804b33511bd2ab18
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/020421_feb5_workdir/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
